corpus,layer,head,gqa_group,region,block_size,top_k,condition,metric,mean,documents,ci_low,ci_high
hotpotqa,0,0,0,local,16,8,random,spearman,-0.014290517572719815,4,-0.053629241021864074,0.028394673489871576
hotpotqa,0,0,0,local,16,8,random,top_mass_overlap,0.06502398698648904,4,0.027718854136765003,0.10232911983621307
hotpotqa,0,0,0,local,16,8,semantic,jaccard,0.9305555555555556,4,0.909375,0.9444444444444445
hotpotqa,0,0,0,local,16,8,semantic,js_similarity,0.9803316501963619,4,0.9724433876413563,0.9882199127513674
hotpotqa,0,0,0,local,16,8,semantic,spearman,0.967404847360933,4,0.9594937211763074,0.9753159735455588
hotpotqa,0,0,0,local,16,8,semantic,top_mass_overlap,0.9228413244709373,4,0.9077082592993975,0.937974389642477
hotpotqa,0,0,0,local,16,8,semantic_plus_supplement,retained_mass,0.9875671784365347,4,0.9858730290431705,0.9887430483545753
hotpotqa,0,0,0,local,16,8,semantic_plus_supplement,retained_ratio,0.99744400072633,4,0.9966413113014879,0.9982536334289707
hotpotqa,0,0,0,local,16,8,semantic_shared,retained_mass,0.9867745013473158,4,0.9849267817476186,0.9881915910963597
hotpotqa,0,0,0,local,16,8,semantic_shared,retained_ratio,0.9966468824872015,4,0.9958564504007574,0.9971817403945409
hotpotqa,0,0,0,local,32,4,all_route,evidence_recall,0.027777777777777776,4,0.0,0.08333333333333333
hotpotqa,0,0,0,local,32,4,boundary,jaccard,0.8395833333333332,4,0.7874999999999999,0.8937499999999999
hotpotqa,0,0,0,local,32,4,boundary,js_similarity,0.949034459942577,4,0.9427194141637985,0.9568199672061647
hotpotqa,0,0,0,local,32,4,boundary,spearman,0.9457713005800352,4,0.934098935645615,0.9580199191648491
hotpotqa,0,0,0,local,32,4,boundary,top_mass_overlap,0.8671396700665355,4,0.8610235722735524,0.8713439740240574
hotpotqa,0,0,0,local,32,4,content_route,evidence_recall,0.027777777777777776,4,0.0,0.08333333333333333
hotpotqa,0,0,0,local,32,4,content_vs_all,delta_pull,-0.0010808517553237288,4,-0.0020029523117756753,-0.0004849231729702074
hotpotqa,0,0,0,local,32,4,content_vs_negation,jaccard,1.0,1,1.0,1.0
hotpotqa,0,0,0,local,32,4,content_vs_negation,js_similarity,0.9930195577537683,1,0.9930195577537683,0.9930195577537683
hotpotqa,0,0,0,local,32,4,content_vs_negation,spearman,0.9996457041629762,1,0.9996457041629762,0.9996457041629762
hotpotqa,0,0,0,local,32,4,content_vs_negation,top_mass_overlap,0.9143213629722595,1,0.9143213629722595,0.9143213629722595
hotpotqa,0,0,0,local,32,4,content_vs_number,jaccard,0.9870833333333333,4,0.9741666666666666,1.0
hotpotqa,0,0,0,local,32,4,content_vs_number,js_similarity,0.9913077305846894,4,0.9879427980187452,0.9939111985478517
hotpotqa,0,0,0,local,32,4,content_vs_number,spearman,0.9800632594188996,4,0.968502823230207,0.9903602125489412
hotpotqa,0,0,0,local,32,4,content_vs_number,top_mass_overlap,0.9327962954218189,4,0.9249105515579382,0.9376015185068051
hotpotqa,0,0,0,local,32,4,content_vs_pronoun,jaccard,0.9312499999999999,4,0.90625,0.95625
hotpotqa,0,0,0,local,32,4,content_vs_pronoun,js_similarity,0.9766543499265538,4,0.9688272095171613,0.9844814903359462
