contrast,context_length,cache_budget,remote_count,metric,left_mean,right_mean,mean_difference,ci_low,ci_high,documents,targets
prefix_minus_recent,32768,512,4,delta_ce,0.07623103632210881,1.4103227960447953,-1.3340917597226865,-1.6989561402682345,-0.971346750801637,8,512
prefix_minus_recent,32768,512,4,kl_full_to_compact,0.12336380019757498,1.6435683682917954,-1.5202045680942204,-1.8815206238763045,-1.1078558548859263,8,512
prefix_minus_recent,32768,512,4,top1_changed,0.17578125,0.556640625,-0.380859375,-0.43359375,-0.32421875,8,512
prefix_minus_recent,32768,2048,4,delta_ce,0.017350713447319865,0.6495032887758354,-0.6321525753285155,-0.955063542992469,-0.36377089331239176,8,512
prefix_minus_recent,32768,2048,4,kl_full_to_compact,0.06739713126687197,0.806819706560101,-0.7394225752932291,-1.1283117951167687,-0.4131607365653718,8,512
prefix_minus_recent,32768,2048,4,top1_changed,0.130859375,0.361328125,-0.23046875,-0.283203125,-0.18359375,8,512
prefix_minus_recent,32768,8192,4,delta_ce,-0.003842087446808584,0.3266780590773277,-0.3305201465241363,-0.5786677503811408,-0.14298190154506552,8,512
prefix_minus_recent,32768,8192,4,kl_full_to_compact,0.027156720547575813,0.45171835114110204,-0.42456163059352625,-0.6714940201528283,-0.2138791956992332,8,512
prefix_minus_recent,32768,8192,4,top1_changed,0.080078125,0.27734375,-0.197265625,-0.255859375,-0.146484375,8,512
prefix_minus_recent,16384,128,16,delta_ce,0.30274354430483275,1.9258868738298918,-1.623143329525059,-2.066649167363241,-1.2378940547677368,8,512
prefix_minus_recent,16384,128,16,kl_full_to_compact,0.3179759462709222,2.0353019401334365,-1.7173259938625143,-2.1663072211039247,-1.3478736281959314,8,512
prefix_minus_recent,16384,128,16,top1_changed,0.2265625,0.615234375,-0.388671875,-0.455078125,-0.32807617187500027,8,512
prefix_minus_recent,16384,512,16,delta_ce,0.08944428552601558,0.8573416064770032,-0.7678973209509876,-1.198819481196071,-0.4258455163668636,8,512
prefix_minus_recent,16384,512,16,kl_full_to_compact,0.1369412573252406,1.015554659549604,-0.8786134022243635,-1.3090017884839769,-0.5205512639839747,8,512
prefix_minus_recent,16384,512,16,top1_changed,0.1640625,0.412109375,-0.248046875,-0.318359375,-0.185546875,8,512
prefix_minus_recent,16384,2048,16,delta_ce,0.0378457378912862,0.4740839061731714,-0.4362381682818852,-0.6987923435359338,-0.2480544796128999,8,512
prefix_minus_recent,16384,2048,16,kl_full_to_compact,0.06615904914694569,0.5445149778356511,-0.47835592868870536,-0.7408501443738587,-0.279772341124157,8,512
prefix_minus_recent,16384,2048,16,top1_changed,0.09765625,0.296875,-0.19921875,-0.2734375,-0.13671875,8,512
prefix_minus_recent,16384,8192,16,delta_ce,0.0022702708024415763,0.3333231515427819,-0.33105288074034034,-0.5715772963826786,-0.159363348874842,8,512
prefix_minus_recent,16384,8192,16,kl_full_to_compact,0.016108761994479304,0.40369425552735994,-0.38758549353288063,-0.6255590532959819,-0.2117033177843819,8,512
prefix_minus_recent,16384,8192,16,top1_changed,0.0703125,0.236328125,-0.166015625,-0.232470703125,-0.103515625,8,512
prefix_minus_recent,24576,128,16,delta_ce,0.26776797605541347,2.1047102068961863,-1.8369422308407728,-2.1477864842565992,-1.528160112005787,8,512
prefix_minus_recent,24576,128,16,kl_full_to_compact,0.29792243869825086,2.2895473985289527,-1.9916249598307019,-2.2479370490540447,-1.6953404254341462,8,512
prefix_minus_recent,24576,128,16,top1_changed,0.203125,0.6171875,-0.4140625,-0.4609375,-0.37104492187500027,8,512
prefix_minus_recent,24576,512,16,delta_ce,0.17046019862955752,1.480745502697772,-1.3102853040682145,-1.7692454960362465,-0.8852420144006375,8,512
prefix_minus_recent,24576,512,16,kl_full_to_compact,0.17592579868421798,1.6897893371416899,-1.513863538457472,-1.9152905976992358,-1.111654157693937,8,512
prefix_minus_recent,24576,512,16,top1_changed,0.16015625,0.556640625,-0.396484375,-0.46875,-0.31635742187500027,8,512
prefix_minus_recent,24576,2048,16,delta_ce,0.11475293175705836,0.7684527516247961,-0.6536998198677377,-1.1406320783135542,-0.36724306608850094,8,512
prefix_minus_recent,24576,2048,16,kl_full_to_compact,0.10604714678575455,0.8048219366704892,-0.6987747898847346,-1.1651572852571466,-0.40158207331621454,8,512
prefix_minus_recent,24576,2048,16,top1_changed,0.125,0.37890625,-0.25390625,-0.33984375,-0.1796875,8,512
prefix_minus_recent,24576,8192,16,delta_ce,0.01492741200952219,0.4327207053335149,-0.41779329332399273,-0.7575073521332699,-0.20078468311046518,8,512
prefix_minus_recent,24576,8192,16,kl_full_to_compact,0.028857319575739532,0.48212210291951063,-0.45326478334377107,-0.7521288533565349,-0.26614141420782467,8,512
prefix_minus_recent,24576,8192,16,top1_changed,0.068359375,0.2890625,-0.220703125,-0.269580078125,-0.17377929687500027,8,512
