context_length,cache_budget,policy,remote_count,delta_ce,kl_full_to_compact,top1_changed
16384,2048,random_remote,64,0.48971942351889464,0.56329468657463,0.29296875
16384,2048,recent_only,0,0.4740839061731714,0.5445149778356511,0.296875
16384,2048,strided_remote,16,0.4881021081676886,0.5590736753875314,0.30078125
16384,2048,strided_remote,64,0.49185177972738714,0.5641586058227102,0.294921875
16384,8192,prefix,1,0.0035251409441912074,0.018121409464045363,0.060546875
16384,8192,prefix,4,0.001419446836234517,0.016116997497973937,0.06640625
16384,8192,prefix,16,0.0022702708024415763,0.016108761994479304,0.0703125
16384,8192,prefix,64,0.00037364121459937394,0.015860803022767045,0.0625
16384,8192,prefix_zero_value,4,0.46868895126674026,0.41552763222877687,0.224609375
16384,8192,prefix_zero_value,16,0.4603886096742027,0.4086875305378257,0.216796875
16384,8192,random_remote,16,0.33389688479768687,0.40272085958456616,0.23828125
16384,8192,random_remote,64,0.33029562755790476,0.400715637864967,0.240234375
16384,8192,recent_only,0,0.3333231515427819,0.40369425552735994,0.236328125
16384,8192,strided_remote,16,0.33347895921316617,0.40319729861372844,0.23828125
16384,8192,strided_remote,64,0.3330733954474585,0.4009142355025128,0.23828125
24576,128,prefix,1,0.2037298084218815,0.24806603574768182,0.19140625
24576,128,prefix,4,0.22499852457479008,0.28539681437163633,0.19921875
24576,128,prefix,16,0.26776797605541347,0.29792243869825086,0.203125
24576,128,prefix,64,0.2902061428555802,0.3485991821314274,0.232421875
24576,128,prefix_zero_value,4,1.016919853343552,0.9600546461615522,0.39453125
24576,128,prefix_zero_value,16,1.0829648696069398,1.0135015966216088,0.384765625
24576,128,random_remote,16,1.9883866561597756,2.1728282380312294,0.59375
24576,128,random_remote,64,1.9432257711234797,2.1083462416577277,0.59765625
24576,128,recent_only,0,2.1047102068961863,2.2895473985289527,0.6171875
24576,128,strided_remote,16,1.9559831648668933,2.118504843218716,0.615234375
24576,128,strided_remote,64,1.9055474128974765,2.1073393125886923,0.611328125
24576,512,prefix,1,0.17090207074071984,0.1692622737035614,0.158203125
24576,512,prefix,4,0.1734273235535575,0.17412722207083153,0.162109375
24576,512,prefix,16,0.17046019862955752,0.17592579868421798,0.16015625
24576,512,prefix,64,0.1675064401320574,0.1767698531659474,0.15234375
24576,512,prefix_zero_value,4,0.8915936692774835,0.7826882875733645,0.333984375
24576,512,prefix_zero_value,16,0.8942577788091626,0.7894920088110666,0.33203125
24576,512,random_remote,16,1.3446943996680147,1.5009336785109895,0.53515625
24576,512,random_remote,64,1.2394918225551805,1.4172433406889127,0.498046875
24576,512,recent_only,0,1.480745502697772,1.6897893371416899,0.556640625
24576,512,strided_remote,16,1.3168836843908593,1.5024691097142409,0.544921875
24576,512,strided_remote,64,1.2424365943176099,1.4222076821595806,0.513671875
24576,2048,prefix,1,0.10994234457822927,0.10053485135981954,0.123046875
24576,2048,prefix,4,0.11568853848319716,0.10565389279612286,0.123046875
24576,2048,prefix,16,0.11475293175705836,0.10604714678575455,0.125
24576,2048,prefix,64,0.10359057041705189,0.10018348862065773,0.125
24576,2048,prefix_zero_value,4,0.7181971040750454,0.6350951722026821,0.291015625
