coarse_category,fine_category,layer,block_index,key_start,key_end,queries,documents,attention_mass_mean,attention_mass_median,concentration_mean
content,adjective,0,121,15488,15616,32,7,0.010871391190448776,0.010895619168877602,1.3888527043163776
content,adjective,0,122,15616,15744,32,7,0.011354928166838363,0.011469201650470495,1.4505638852715492
content,adjective,0,123,15744,15872,32,7,0.017508107266621664,0.016937986947596073,2.236480612307787
content,adjective,0,124,15872,16000,32,7,0.03415434859925881,0.034224096685647964,4.363251879811287
content,adjective,0,125,16000,16128,32,7,0.02355778933269903,0.022910677827894688,3.0095118954777718
content,adjective,0,126,16128,16256,32,7,0.047217264713253826,0.043131038546562195,6.030544675886631
content,adjective,0,127,16256,16323,1,1,0.4630259573459625,0.4630259573459625,112.80557250976562
content,adjective,0,127,16256,16324,1,1,0.3827728033065796,0.3827728033065796,91.88797760009766
content,adjective,0,127,16256,16325,2,2,0.4654737412929535,0.4654737412929535,110.12837982177734
content,adjective,0,127,16256,16326,1,1,0.46280574798583984,0.46280574798583984,107.93952178955078
content,adjective,0,127,16256,16332,1,1,0.3587857484817505,0.3587857484817505,77.10116577148438
content,adjective,0,127,16256,16333,1,1,0.4260272681713104,0.4260272681713104,90.3675765991211
content,adjective,0,127,16256,16338,2,2,0.42096690833568573,0.42096690833568573,83.87509536743164
content,adjective,0,127,16256,16340,1,1,0.4644516110420227,0.4644516110420227,90.34688568115234
content,adjective,0,127,16256,16341,1,1,0.42000800371170044,0.42000800371170044,80.74530029296875
content,adjective,0,127,16256,16342,1,1,0.4814048707485199,0.4814048707485199,91.47811889648438
content,adjective,0,127,16256,16346,1,1,0.40617814660072327,0.40617814660072327,73.77098083496094
content,adjective,0,127,16256,16351,2,2,0.46615728735923767,0.46615728735923767,80.2330207824707
content,adjective,0,127,16256,16352,1,1,0.5054386854171753,0.5054386854171753,86.09305572509766
content,adjective,0,127,16256,16354,1,1,0.458838552236557,0.458838552236557,76.56985473632812
content,adjective,0,127,16256,16359,1,1,0.4940282702445984,0.4940282702445984,78.46415710449219
content,adjective,0,127,16256,16360,2,2,0.4241136312484741,0.4241136312484741,66.71633529663086
content,adjective,0,127,16256,16365,1,1,0.4411992132663727,0.4411992132663727,66.2406005859375
content,adjective,0,127,16256,16366,2,2,0.5230591893196106,0.5230591893196106,77.82170486450195
content,adjective,0,127,16256,16367,2,2,0.44348251819610596,0.44348251819610596,65.39169883728027
content,adjective,0,127,16256,16368,1,1,0.45492416620254517,0.45492416620254517,66.4839096069336
content,adjective,0,127,16256,16372,1,1,0.47786393761634827,0.47786393761634827,67.44473266601562
content,adjective,0,127,16256,16373,2,2,0.4589605778455734,0.4589605778455734,64.22701835632324
content,adjective,0,127,16256,16374,1,1,0.48971953988075256,0.48971953988075256,67.9548110961914
content,adjective,0,127,16256,16380,1,1,0.526061475276947,0.526061475276947,69.49102020263672
content,adjective,0,127,16256,16383,1,1,0.48351943492889404,0.48351943492889404,62.37400817871094
content,adjective,1,0,0,128,32,7,0.004143529084103648,0.004316734615713358,0.5293284673243761
content,adjective,1,1,128,256,32,7,0.0022848322987556458,0.0022453878773376346,0.29189804662019014
content,adjective,1,2,256,384,32,7,0.0023738030686217826,0.0024347336729988456,0.30324014695361257
content,adjective,1,3,384,512,32,7,0.0028696074477920774,0.0028760446002706885,0.3665709034539759
content,adjective,1,4,512,640,32,7,0.0024712268641451374,0.0024102349998429418,0.3157055051997304
content,adjective,1,5,640,768,32,7,0.002673806986422278,0.0026006127009168267,0.3415591698139906
content,adjective,1,6,768,896,32,7,0.002773596283077495,0.0027546865167096257,0.35432919999584556
content,adjective,1,7,896,1024,32,7,0.002655677071743412,0.0025218798546120524,0.3392388648353517
content,adjective,1,8,1024,1152,32,7,0.003919910166587215,0.004016628954559565,0.50075963139534
content,adjective,1,9,1152,1280,32,7,0.003293918722192757,0.0033935231622308493,0.4207951156422496
content,adjective,1,10,1280,1408,32,7,0.0027981108396488708,0.0026803086511790752,0.35749185970053077
content,adjective,1,11,1408,1536,32,7,0.002268202581035439,0.002143672783859074,0.2897724132053554
content,adjective,1,12,1536,1664,32,7,0.00196338729801937,0.0018717161729000509,0.25080966018140316
content,adjective,1,13,1664,1792,32,7,0.0021441533499455545,0.002157534589059651,0.2739060097374022
content,adjective,1,14,1792,1920,32,7,0.0017429442086722702,0.0017822736408561468,0.22266423236578703
content,adjective,1,15,1920,2048,32,7,0.0015925778388918843,0.0015683138626627624,0.20346061186864972
content,adjective,1,16,2048,2176,32,7,0.0011946944487135625,0.0011984354932792485,0.15263147256337106
content,adjective,1,17,2176,2304,32,7,0.001487916475525708,0.0014634814579039812,0.19006503745913506
content,adjective,1,18,2304,2432,32,7,0.0012974100136489142,0.0013233547797426581,0.16575201484374702
content,adjective,1,19,2432,2560,32,7,0.001213685247421381,0.001166611909866333,0.15505378949455917
content,adjective,1,20,2560,2688,32,7,0.0013892003953515086,0.0013991061714477837,0.17748103197664022
content,adjective,1,21,2688,2816,32,7,0.0012059571618010523,0.0012014994863420725,0.15406443504616618
content,adjective,1,22,2816,2944,32,7,0.00138064569546259,0.0014076785300858319,0.1763770990073681
content,adjective,1,23,2944,3072,32,7,0.00136660457974358,0.0013346230261959136,0.1745821014046669
content,adjective,1,24,3072,3200,32,7,0.0011261018080404028,0.0011680363677442074,0.1438667383044958
content,adjective,1,25,3200,3328,32,7,0.0012231800719746388,0.0012500042794272304,0.15626946929842234
content,adjective,1,26,3328,3456,32,7,0.0012112091590097407,0.0012465973268263042,0.15472796955145895
content,adjective,1,27,3456,3584,32,7,0.0014376928702404257,0.0014202583697624505,0.1836750297807157
content,adjective,1,28,3584,3712,32,7,0.0009538960403006058,0.0009423297888133675,0.1218624550383538
content,adjective,1,29,3712,3840,32,7,0.0011955210138694383,0.001151293865405023,0.1527145616710186
content,adjective,1,30,3840,3968,32,7,0.001388550652336562,0.0013226887676864862,0.17739360267296433
content,adjective,1,31,3968,4096,32,7,0.0017623708663450088,0.0017082080012187362,0.2251460487022996
content,adjective,1,32,4096,4224,32,7,0.001641027680307161,0.0016026353114284575,0.20964872604236007
content,adjective,1,33,4224,4352,32,7,0.001044151120368042,0.0010224529542028904,0.13340758439153433
content,adjective,1,34,4352,4480,32,7,0.0008523208507540403,0.0008157554839272052,0.1088836183771491
content,adjective,1,35,4480,4608,32,7,0.000959581497227191,0.0009082202450372279,0.12258789571933448
content,adjective,1,36,4608,4736,32,7,0.001134400794398971,0.0010921899229288101,0.14492277731187642
content,adjective,1,37,4736,4864,32,7,0.001003738931103726,0.0009757824300322682,0.1282337517477572
content,adjective,1,38,4864,4992,32,7,0.0009078216644411441,0.0009100636525545269,0.11596853798255324
content,adjective,1,39,4992,5120,32,7,0.0009688856225693598,0.0009596417075954378,0.12377911480143666
content,adjective,1,40,5120,5248,32,7,0.001074911599062034,0.001019211020320654,0.13730840221978724
content,adjective,1,41,5248,5376,32,7,0.0015856106801948044,0.0014865914126858115,0.2025572550483048
content,adjective,1,42,5376,5504,32,7,0.0015000050007074606,0.0014651104575023055,0.19162899069488049
content,adjective,1,43,5504,5632,32,7,0.0013967463928565849,0.0013927471009083092,0.17841162672266364
