layer,block_index,content_minus_function,ci_low,ci_high,documents,ci_excludes_zero,permutation_p_value,fdr_q_value,fdr_significant_0.05,key_start,key_end
0,112,0.00022976915639834192,0.0001005419597284248,0.00036991952439201903,8,True,0.03125,0.22727272727272727,False,14336,14464
0,113,0.00034469991429178753,0.00018730400294267216,0.0005089494484810228,8,True,0.0078125,0.14925373134328357,False,14464,14592
0,114,0.00022061312023346488,5.5404193809601235e-05,0.00040082463564662175,8,True,0.0546875,0.2777777777777778,False,14592,14720
0,115,0.0003861375105558112,0.00015329051280248046,0.0006166861947263958,8,True,0.03125,0.22727272727272727,False,14720,14848
0,116,0.0004109745351425111,0.0002042986787786212,0.000646702147598011,8,True,0.0078125,0.14925373134328357,False,14848,14976
0,117,0.00046489679682698375,0.00019659130254096952,0.0006991008486707263,8,True,0.03125,0.22727272727272727,False,14976,15104
0,118,0.0004372304177051782,0.0002495922518581441,0.000657980293493462,8,True,0.0078125,0.14925373134328357,False,15104,15232
0,119,0.00027322964544422676,0.00011875236449820381,0.0004131416490293105,8,True,0.0234375,0.2054794520547945,False,15232,15360
0,120,0.0007691229313829548,0.00025999474606105055,0.0012653510596106765,8,True,0.0390625,0.25,False,15360,15488
0,121,0.0006550598398926881,0.0003456525232062663,0.0009922072228136809,8,True,0.0078125,0.14925373134328357,False,15488,15616
0,122,0.0006974082275734233,0.00034320798614015423,0.0010336563847170338,8,True,0.015625,0.16806722689075632,False,15616,15744
0,123,0.00040950873915816853,-2.8030578651469407e-05,0.0008450814176138453,8,False,0.140625,0.391304347826087,False,15744,15872
0,124,0.0007940090799906834,8.810805773547953e-05,0.0014789657203240427,8,True,0.078125,0.31347962382445144,False,15872,16000
0,125,0.0011943695760145445,0.0005903023233566301,0.0016677741087309018,8,True,0.015625,0.16806722689075632,False,16000,16128
0,126,-0.0007957348632841683,-0.003204275660786262,0.0022892487270305905,8,False,0.625,0.7984031936127745,False,16128,16256
0,127,-0.014353267206555366,-0.019571971620890652,-0.007755934464391037,8,True,0.015625,0.16806722689075632,False,16256,16320
1,0,0.0001995039114463699,-3.2591814410362716e-07,0.0003978246787532553,8,False,0.140625,0.391304347826087,False,0,128
1,1,6.191867992106582e-05,-3.0277474686469106e-05,0.00015016851092607828,8,False,0.25,0.5186385737439222,False,128,256
1,2,6.612568481959661e-05,-5.106207295297634e-06,0.000136250192766673,8,False,0.1328125,0.38288288288288286,False,256,384
1,3,-2.376068293080604e-05,-9.170595976276667e-05,4.842560626809101e-05,8,False,0.546875,0.7608695652173914,False,384,512
1,4,9.078995056110463e-06,-5.389788453526965e-05,6.68431467202106e-05,8,False,0.8359375,0.9302325581395349,False,512,640
1,5,3.198154770719399e-06,-7.051669734380736e-05,6.431216899757784e-05,8,False,0.9375,0.9693053311793215,False,640,768
1,6,-1.5673705242403983e-05,-0.00011560404622961161,6.913304586205172e-05,8,False,0.78125,0.8936550491510277,False,768,896
1,7,-7.315452891884478e-05,-0.00016836115526280842,1.7245981420537383e-05,8,False,0.2265625,0.48986486486486486,False,896,1024
1,8,-0.0001041196672261024,-0.00022274755904575405,8.666055957426469e-06,8,False,0.15625,0.4106776180698152,False,1024,1152
1,9,-5.0069103346918884e-05,-0.00012116520325587926,9.706780045387907e-06,8,False,0.21875,0.4827586206896552,False,1152,1280
1,10,0.00010994700531462878,8.355253164727934e-06,0.00023347279081432432,8,True,0.09375,0.33707865168539325,False,1280,1408
1,11,0.00016699178780408495,7.089892091920863e-05,0.0002727050345181134,8,True,0.015625,0.16806722689075632,False,1408,1536
1,12,4.505964258285901e-05,1.3113962948733699e-05,7.491082290879712e-05,8,True,0.046875,0.26666666666666666,False,1536,1664
1,13,3.5766605515812034e-05,4.3348454980100476e-06,6.556390853900913e-05,8,True,0.0859375,0.3235294117647059,False,1664,1792
1,14,2.5390958794214622e-05,-1.6305345596768475e-05,6.70531464301357e-05,8,False,0.2890625,0.5530642750373692,False,1792,1920
1,15,5.5830500771866885e-05,3.840263619676236e-07,0.0001147660834558611,8,True,0.09375,0.33707865168539325,False,1920,2048
1,16,3.802552291142064e-05,1.2487306051808765e-05,6.353966512151512e-05,8,True,0.03125,0.22727272727272727,False,2048,2176
1,17,-1.8699063415267237e-06,-4.1921442838804825e-05,3.621550286095684e-05,8,False,0.9375,0.9693053311793215,False,2176,2304
1,18,2.2720672372488794e-05,-1.9960601384650356e-05,5.833708737814207e-05,8,False,0.3046875,0.5652173913043478,False,2304,2432
1,19,1.2584784610437778e-05,-1.1689080632359679e-05,3.3328244040334914e-05,8,False,0.34375,0.6027397260273972,False,2432,2560
1,20,2.036411012133101e-05,-1.3466819579553647e-05,5.639921768365248e-05,8,False,0.3125,0.5738880918220947,False,2560,2688
1,21,6.395516363270673e-06,-1.7211309838339377e-05,3.029497566620588e-05,8,False,0.65625,0.8195121951219512,False,2688,2816
1,22,3.6140671409890944e-06,-1.800873806856988e-05,2.523598422547816e-05,8,False,0.734375,0.871177015755329,False,2816,2944
1,23,5.2731294804771775e-06,-2.5361363543523962e-05,3.938473532961526e-05,8,False,0.7890625,0.8977777777777778,False,2944,3072
